date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-04-06,11110,Wednesday,5,4,2011,d_68,,,,,1,1,1
2011-04-07,11110,Thursday,6,4,2011,d_69,,,,,1,1,0
2011-04-08,11110,Friday,7,4,2011,d_70,,,,,1,0,1
2011-04-09,11111,Saturday,1,4,2011,d_71,,,,,1,1,1
2011-04-10,11111,Sunday,2,4,2011,d_72,,,,,1,0,0
2011-04-11,11111,Monday,3,4,2011,d_73,,,,,0,1,1
2011-04-12,11111,Tuesday,4,4,2011,d_74,,,,,0,1,1
2011-04-13,11111,Wednesday,5,4,2011,d_75,,,,,0,1,0
2011-04-14,11111,Thursday,6,4,2011,d_76,,,,,0,0,1
2011-04-15,11111,Friday,7,4,2011,d_77,,,,,0,1,1
2011-04-16,11112,Saturday,1,4,2011,d_78,,,,,0,0,0
2011-04-17,11112,Sunday,2,4,2011,d_79,,,,,0,0,0
2011-04-18,11112,Monday,3,4,2011,d_80,,,,,0,0,0
2011-04-19,11112,Tuesday,4,4,2011,d_81,,,,,0,0,0
2011-04-20,11112,Wednesday,5,4,2011,d_82,,,,,0,0,0
2011-04-21,11112,Thursday,6,4,2011,d_83,,,,,0,0,0
2011-04-22,11112,Friday,7,4,2011,d_84,,,,,0,0,0
2011-04-23,11113,Saturday,1,4,2011,d_85,,,,,0,0,0
2011-04-24,11113,Sunday,2,4,2011,d_86,OrthodoxEaster,Religious,Easter,Cultural,0,0,0
2011-04-25,11113,Monday,3,4,2011,d_87,,,,,0,0,0
2011-04-26,11113,Tuesday,4,4,2011,d_88,Pesach End,Religious,,,0,0,0
2011-04-27,11113,Wednesday,5,4,2011,d_89,,,,,0,0,0
2011-04-28,11113,Thursday,6,4,2011,d_90,,,,,0,0,0
2011-04-29,11113,Friday,7,4,2011,d_91,,,,,0,0,0
2011-04-30,11114,Saturday,1,4,2011,d_92,,,,,0,0,0
2011-05-01,11114,Sunday,2,5,2011,d_93,,,,,1,1,0
2011-05-02,11114,Monday,3,5,2011,d_94,,,,,1,0,1
2011-05-03,11114,Tuesday,4,5,2011,d_95,,,,,1,1,1
2011-05-04,11114,Wednesday,5,5,2011,d_96,,,,,1,0,0
2011-05-05,11114,Thursday,6,5,2011,d_97,Cinco De Mayo,Cultural,,,1,1,1
2011-05-06,11114,Friday,7,5,2011,d_98,,,,,1,1,1
2011-05-07,11115,Saturday,1,5,2011,d_99,,,,,1,1,0
2011-05-08,11115,Sunday,2,5,2011,d_100,Mother's day,Cultural,,,1,0,1
2011-05-09,11115,Monday,3,5,2011,d_101,,,,,1,1,1
2011-05-10,11115,Tuesday,4,5,2011,d_102,,,,,1,0,0
2011-05-11,11115,Wednesday,5,5,2011,d_103,,,,,0,1,1
2011-05-12,11115,Thursday,6,5,2011,d_104,,,,,0,1,1
2011-05-13,11115,Friday,7,5,2011,d_105,,,,,0,1,0
2011-05-14,11116,Saturday,1,5,2011,d_106,,,,,0,0,1
2011-05-15,11116,Sunday,2,5,2011,d_107,,,,,0,1,1
2011-05-16,11116,Monday,3,5,2011,d_108,,,,,0,0,0
2011-05-17,11116,Tuesday,4,5,2011,d_109,,,,,0,0,0
2011-05-18,11116,Wednesday,5,5,2011,d_110,,,,,0,0,0
2011-05-19,11116,Thursday,6,5,2011,d_111,,,,,0,0,0
2011-05-20,11116,Friday,7,5,2011,d_112,,,,,0,0,0
2011-05-21,11117,Saturday,1,5,2011,d_113,,,,,0,0,0
2011-05-22,11117,Sunday,2,5,2011,d_114,,,,,0,0,0
2011-05-23,11117,Monday,3,5,2011,d_115,,,,,0,0,0
2011-05-24,11117,Tuesday,4,5,2011,d_116,,,,,0,0,0
2011-05-25,11117,Wednesday,5,5,2011,d_117,,,,,0,0,0
2011-05-26,11117,Thursday,6,5,2011,d_118,,,,,0,0,0
2011-05-27,11117,Friday,7,5,2011,d_119,,,,,0,0,0
2011-05-28,11118,Saturday,1,5,2011,d_120,,,,,0,0,0
2011-05-29,11118,Sunday,2,5,2011,d_121,,,,,0,0,0
2011-05-30,11118,Monday,3,5,2011,d_122,MemorialDay,National,,,0,0,0
2011-05-31,11118,Tuesday,4,5,2011,d_123,NBAFinalsStart,Sporting,,,0,0,0
2011-06-01,11118,Wednesday,5,6,2011,d_124,,,,,1,1,0
2011-06-02,11118,Thursday,6,6,2011,d_125,,,,,1,0,1
2011-06-03,11118,Friday,7,6,2011,d_126,,,,,1,1,1
2011-06-04,11119,Saturday,1,6,2011,d_127,,,,,1,0,0
2011-06-05,11119,Sunday,2,6,2011,d_128,,,,,1,1,1
2011-06-06,11119,Monday,3,6,2011,d_129,,,,,1,1,1
2011-06-07,11119,Tuesday,4,6,2011,d_130,,,,,1,1,0
2011-06-08,11119,Wednesday,5,6,2011,d_131,,,,,1,0,1
2011-06-09,11119,Thursday,6,6,2011,d_132,,,,,1,1,1
2011-06-10,11119,Friday,7,6,2011,d_133,,,,,1,0,0
2011-06-11,11120,Saturday,1,6,2011,d_134,,,,,0,1,1
2011-06-12,11120,Sunday,2,6,2011,d_135,NBAFinalsEnd,Sporting,,,0,1,1
2011-06-13,11120,Monday,3,6,2011,d_136,,,,,0,1,0
2011-06-14,11120,Tuesday,4,6,2011,d_137,,,,,0,0,1
2011-06-15,11120,Wednesday,5,6,2011,d_138,,,,,0,1,1
2011-06-16,11120,Thursday,6,6,2011,d_139,,,,,0,0,0
2011-06-17,11120,Friday,7,6,2011,d_140,,,,,0,0,0
2011-06-18,11121,Saturday,1,6,2011,d_141,,,,,0,0,0
2011-06-19,11121,Sunday,2,6,2011,d_142,Father's day,Cultural,,,0,0,0
2011-06-20,11121,Monday,3,6,2011,d_143,,,,,0,0,0
2011-06-21,11121,Tuesday,4,6,2011,d_144,,,,,0,0,0
2011-06-22,11121,Wednesday,5,6,2011,d_145,,,,,0,0,0
2011-06-23,11121,Thursday,6,6,2011,d_146,,,,,0,0,0
2011-06-24,11121,Friday,7,6,2011,d_147,,,,,0,0,0
2011-06-25,11122,Saturday,1,6,2011,d_148,,,,,0,0,0
2011-06-26,11122,Sunday,2,6,2011,d_149,,,,,0,0,0
2011-06-27,11122,Monday,3,6,2011,d_150,,,,,0,0,0
2011-06-28,11122,Tuesday,4,6,2011,d_151,,,,,0,0,0
2011-06-29,11122,Wednesday,5,6,2011,d_152,,,,,0,0,0
2011-06-30,11122,Thursday,6,6,2011,d_153,,,,,0,0,0
2011-07-01,11122,Friday,7,7,2011,d_154,,,,,1,1,0
2011-07-02,11123,Saturday,1,7,2011,d_155,,,,,1,0,1
2011-07-03,11123,Sunday,2,7,2011,d_156,,,,,1,1,1
2011-07-04,11123,Monday,3,7,2011,d_157,IndependenceDay,National,,,1,0,0
2011-07-05,11123,Tuesday,4,7,2011,d_158,,,,,1,1,1
2011-07-06,11123,Wednesday,5,7,2011,d_159,,,,,1,1,1
2011-07-07,11123,Thursday,6,7,2011,d_160,,,,,1,1,0
2011-07-08,11123,Friday,7,7,2011,d_161,,,,,1,0,1
2011-07-09,11124,Saturday,1,7,2011,d_162,,,,,1,1,1
2011-07-10,11124,Sunday,2,7,2011,d_163,,,,,1,0,0
2011-07-11,11124,Monday,3,7,2011,d_164,,,,,0,1,1
2011-07-12,11124,Tuesday,4,7,2011,d_165,,,,,0,1,1
2011-07-13,11124,Wednesday,5,7,2011,d_166,,,,,0,1,0
2011-07-14,11124,Thursday,6,7,2011,d_167,,,,,0,0,1
2011-07-15,11124,Friday,7,7,2011,d_168,,,,,0,1,1
2011-07-16,11125,Saturday,1,7,2011,d_169,,,,,0,0,0
2011-07-17,11125,Sunday,2,7,2011,d_170,,,,,0,0,0
2011-07-18,11125,Monday,3,7,2011,d_171,,,,,0,0,0
2011-07-19,11125,Tuesday,4,7,2011,d_172,,,,,0,0,0
2011-07-20,11125,Wednesday,5,7,2011,d_173,,,,,0,0,0
2011-07-21,11125,Thursday,6,7,2011,d_174,,,,,0,0,0
2011-07-22,11125,Friday,7,7,2011,d_175,,,,,0,0,0
2011-07-23,11126,Saturday,1,7,2011,d_176,,,,,0,0,0
2011-07-24,11126,Sunday,2,7,2011,d_177,,,,,0,0,0
2011-07-25,11126,Monday,3,7,2011,d_178,,,,,0,0,0
2011-07-26,11126,Tuesday,4,7,2011,d_179,,,,,0,0,0
2011-07-27,11126,Wednesday,5,7,2011,d_180,,,,,0,0,0
2011-07-28,11126,Thursday,6,7,2011,d_181,,,,,0,0,0
2011-07-29,11126,Friday,7,7,2011,d_182,,,,,0,0,0
2011-07-30,11127,Saturday,1,7,2011,d_183,,,,,0,0,0
2011-07-31,11127,Sunday,2,7,2011,d_184,,,,,0,0,0
2011-08-01,11127,Monday,3,8,2011,d_185,Ramadan starts,Religious,,,1,1,0
2011-08-02,11127,Tuesday,4,8,2011,d_186,,,,,1,0,1
2011-08-03,11127,Wednesday,5,8,2011,d_187,,,,,1,1,1
2011-08-04,11127,Thursday,6,8,2011,d_188,,,,,1,0,0
2011-08-05,11127,Friday,7,8,2011,d_189,,,,,1,1,1
2011-08-06,11128,Saturday,1,8,2011,d_190,,,,,1,1,1
2011-08-07,11128,Sunday,2,8,2011,d_191,,,,,1,1,0
2011-08-08,11128,Monday,3,8,2011,d_192,,,,,1,0,1
2011-08-09,11128,Tuesday,4,8,2011,d_193,,,,,1,1,1
2011-08-10,11128,Wednesday,5,8,2011,d_194,,,,,1,0,0
2011-08-11,11128,Thursday,6,8,2011,d_195,,,,,0,1,1
2011-08-12,11128,Friday,7,8,2011,d_196,,,,,0,1,1
2011-08-13,11129,Saturday,1,8,2011,d_197,,,,,0,1,0
2011-08-14,11129,Sunday,2,8,2011,d_198,,,,,0,0,1
2011-08-15,11129,Monday,3,8,2011,d_199,,,,,0,1,1
2011-08-16,11129,Tuesday,4,8,2011,d_200,,,,,0,0,0
2011-08-17,11129,Wednesday,5,8,2011,d_201,,,,,0,0,0
2011-08-18,11129,Thursday,6,8,2011,d_202,,,,,0,0,0
2011-08-19,11129,Friday,7,8,2011,d_203,,,,,0,0,0
2011-08-20,11130,Saturday,1,8,2011,d_204,,,,,0,0,0
2011-08-21,11130,Sunday,2,8,2011,d_205,,,,,0,0,0
2011-08-22,11130,Monday,3,8,2011,d_206,,,,,0,0,0
2011-08-23,11130,Tuesday,4,8,2011,d_207,,,,,0,0,0
2011-08-24,11130,Wednesday,5,8,2011,d_208,,,,,0,0,0
2011-08-25,11130,Thursday,6,8,2011,d_209,,,,,0,0,0
2011-08-26,11130,Friday,7,8,2011,d_210,,,,,0,0,0
2011-08-27,11131,Saturday,1,8,2011,d_211,,,,,0,0,0
2011-08-28,11131,Sunday,2,8,2011,d_212,,,,,0,0,0
2011-08-29,11131,Monday,3,8,2011,d_213,,,,,0,0,0
2011-08-30,11131,Tuesday,4,8,2011,d_214,,,,,0,0,0
2011-08-31,11131,Wednesday,5,8,2011,d_215,Eid al-Fitr,Religious,,,0,0,0
2011-09-01,11131,Thursday,6,9,2011,d_216,,,,,1,1,0
2011-09-02,11131,Friday,7,9,2011,d_217,,,,,1,0,1
2011-09-03,11132,Saturday,1,9,2011,d_218,,,,,1,1,1
2011-09-04,11132,Sunday,2,9,2011,d_219,,,,,1,0,0
2011-09-05,11132,Monday,3,9,2011,d_220,LaborDay,National,,,1,1,1
2011-09-06,11132,Tuesday,4,9,2011,d_221,,,,,1,1,1
2011-09-07,11132,Wednesday,5,9,2011,d_222,,,,,1,1,0
2011-09-08,11132,Thursday,6,9,2011,d_223,,,,,1,0,1
2011-09-09,11132,Friday,7,9,2011,d_224,,,,,1,1,1
2011-09-10,11133,Saturday,1,9,2011,d_225,,,,,1,0,0
2011-09-11,11133,Sunday,2,9,2011,d_226,,,,,0,1,1
2011-09-12,11133,Monday,3,9,2011,d_227,,,,,0,1,1
2011-09-13,11133,Tuesday,4,9,2011,d_228,,,,,0,1,0
2011-09-14,11133,Wednesday,5,9,2011,d_229,,,,,0,0,1
2011-09-15,11133,Thursday,6,9,2011,d_230,,,,,0,1,1
2011-09-16,11133,Friday,7,9,2011,d_231,,,,,0,0,0
2011-09-17,11134,Saturday,1,9,2011,d_232,,,,,0,0,0
2011-09-18,11134,Sunday,2,9,2011,d_233,,,,,0,0,0
2011-09-19,11134,Monday,3,9,2011,d_234,,,,,0,0,0
2011-09-20,11134,Tuesday,4,9,2011,d_235,,,,,0,0,0
2011-09-21,11134,Wednesday,5,9,2011,d_236,,,,,0,0,0
2011-09-22,11134,Thursday,6,9,2011,d_237,,,,,0,0,0
2011-09-23,11134,Friday,7,9,2011,d_238,,,,,0,0,0
2011-09-24,11135,Saturday,1,9,2011,d_239,,,,,0,0,0
2011-09-25,11135,Sunday,2,9,2011,d_240,,,,,0,0,0
2011-09-26,11135,Monday,3,9,2011,d_241,,,,,0,0,0
2011-09-27,11135,Tuesday,4,9,2011,d_242,,,,,0,0,0
2011-09-28,11135,Wednesday,5,9,2011,d_243,,,,,0,0,0
2011-09-29,11135,Thursday,6,9,2011,d_244,,,,,0,0,0
2011-09-30,11135,Friday,7,9,2011,d_245,,,,,0,0,0
2011-10-01,11136,Saturday,1,10,2011,d_246,,,,,1,1,0
2011-10-02,11136,Sunday,2,10,2011,d_247,,,,,1,0,1
2011-10-03,11136,Monday,3,10,2011,d_248,,,,,1,1,1
2011-10-04,11136,Tuesday,4,10,2011,d_249,,,,,1,0,0
2011-10-05,11136,Wednesday,5,10,2011,d_250,,,,,1,1,1
2011-10-06,11136,Thursday,6,10,2011,d_251,,,,,1,1,1
2011-10-07,11136,Friday,7,10,2011,d_252,,,,,1,1,0
2011-10-08,11137,Saturday,1,10,2011,d_253,,,,,1,0,1
2011-10-09,11137,Sunday,2,10,2011,d_254,,,,,1,1,1
2011-10-10,11137,Monday,3,10,2011,d_255,ColumbusDay,National,,,1,0,0
2011-10-11,11137,Tuesday,4,10,2011,d_256,,,,,0,1,1
2011-10-12,11137,Wednesday,5,10,2011,d_257,,,,,0,1,1
2011-10-13,11137,Thursday,6,10,2011,d_258,,,,,0,1,0
2011-10-14,11137,Friday,7,10,2011,d_259,,,,,0,0,1
2011-10-15,11138,Saturday,1,10,2011,d_260,,,,,0,1,1
2011-10-16,11138,Sunday,2,10,2011,d_261,,,,,0,0,0
2011-10-17,11138,Monday,3,10,2011,d_262,,,,,0,0,0
2011-10-18,11138,Tuesday,4,10,2011,d_263,,,,,0,0,0
2011-10-19,11138,Wednesday,5,10,2011,d_264,,,,,0,0,0
2011-10-20,11138,Thursday,6,10,2011,d_265,,,,,0,0,0
2011-10-21,11138,Friday,7,10,2011,d_266,,,,,0,0,0
2011-10-22,11139,Saturday,1,10,2011,d_267,,,,,0,0,0
2011-10-23,11139,Sunday,2,10,2011,d_268,,,,,0,0,0
2011-10-24,11139,Monday,3,10,2011,d_269,,,,,0,0,0
2011-10-25,11139,Tuesday,4,10,2011,d_270,,,,,0,0,0
2011-10-26,11139,Wednesday,5,10,2011,d_271,,,,,0,0,0
2011-10-27,11139,Thursday,6,10,2011,d_272,,,,,0,0,0
2011-10-28,11139,Friday,7,10,2011,d_273,,,,,0,0,0
2011-10-29,11140,Saturday,1,10,2011,d_274,,,,,0,0,0
2011-10-30,11140,Sunday,2,10,2011,d_275,,,,,0,0,0
2011-10-31,11140,Monday,3,10,2011,d_276,Halloween,Cultural,,,0,0,0
2011-11-01,11140,Tuesday,4,11,2011,d_277,,,,,1,1,0
2011-11-02,11140,Wednesday,5,11,2011,d_278,,,,,1,0,1
2011-11-03,11140,Thursday,6,11,2011,d_279,,,,,1,1,1
2011-11-04,11140,Friday,7,11,2011,d_280,,,,,1,0,0
2011-11-05,11141,Saturday,1,11,2011,d_281,,,,,1,1,1
2011-11-06,11141,Sunday,2,11,2011,d_282,,,,,1,1,1
2011-11-07,11141,Monday,3,11,2011,d_283,EidAlAdha,Religious,,,1,1,0
2011-11-08,11141,Tuesday,4,11,2011,d_284,,,,,1,0,1
2011-11-09,11141,Wednesday,5,11,2011,d_285,,,,,1,1,1
2011-11-10,11141,Thursday,6,11,2011,d_286,,,,,1,0,0
2011-11-11,11141,Friday,7,11,2011,d_287,VeteransDay,National,,,0,1,1
2011-11-12,11142,Saturday,1,11,2011,d_288,,,,,0,1,1
2011-11-13,11142,Sunday,2,11,2011,d_289,,,,,0,1,0
2011-11-14,11142,Monday,3,11,2011,d_290,,,,,0,0,1
2011-11-15,11142,Tuesday,4,11,2011,d_291,,,,,0,1,1
2011-11-16,11142,Wednesday,5,11,2011,d_292,,,,,0,0,0
2011-11-17,11142,Thursday,6,11,2011,d_293,,,,,0,0,0
2011-11-18,11142,Friday,7,11,2011,d_294,,,,,0,0,0
2011-11-19,11143,Saturday,1,11,2011,d_295,,,,,0,0,0
2011-11-20,11143,Sunday,2,11,2011,d_296,,,,,0,0,0
2011-11-21,11143,Monday,3,11,2011,d_297,,,,,0,0,0
2011-11-22,11143,Tuesday,4,11,2011,d_298,,,,,0,0,0
2011-11-23,11143,Wednesday,5,11,2011,d_299,,,,,0,0,0
2011-11-24,11143,Thursday,6,11,2011,d_300,Thanksgiving,National,,,0,0,0
2011-11-25,11143,Friday,7,11,2011,d_301,,,,,0,0,0
2011-11-26,11144,Saturday,1,11,2011,d_302,,,,,0,0,0
2011-11-27,11144,Sunday,2,11,2011,d_303,,,,,0,0,0
2011-11-28,11144,Monday,3,11,2011,d_304,,,,,0,0,0
2011-11-29,11144,Tuesday,4,11,2011,d_305,,,,,0,0,0
2011-11-30,11144,Wednesday,5,11,2011,d_306,,,,,0,0,0
2011-12-01,11144,Thursday,6,12,2011,d_307,,,,,1,1,0
2011-12-02,11144,Friday,7,12,2011,d_308,,,,,1,0,1
2011-12-03,11145,Saturday,1,12,2011,d_309,,,,,1,1,1
2011-12-04,11145,Sunday,2,12,2011,d_310,,,,,1,0,0
2011-12-05,11145,Monday,3,12,2011,d_311,,,,,1,1,1
2011-12-06,11145,Tuesday,4,12,2011,d_312,,,,,1,1,1
2011-12-07,11145,Wednesday,5,12,2011,d_313,,,,,1,1,0
2011-12-08,11145,Thursday,6,12,2011,d_314,,,,,1,0,1
2011-12-09,11145,Friday,7,12,2011,d_315,,,,,1,1,1
2011-12-10,11146,Saturday,1,12,2011,d_316,,,,,1,0,0
2011-12-11,11146,Sunday,2,12,2011,d_317,,,,,0,1,1
2011-12-12,11146,Monday,3,12,2011,d_318,,,,,0,1,1
2011-12-13,11146,Tuesday,4,12,2011,d_319,,,,,0,1,0
2011-12-14,11146,Wednesday,5,12,2011,d_320,,,,,0,0,1
2011-12-15,11146,Thursday,6,12,2011,d_321,,,,,0,1,1
2011-12-16,11146,Friday,7,12,2011,d_322,,,,,0,0,0
2011-12-17,11147,Saturday,1,12,2011,d_323,,,,,0,0,0
2011-12-18,11147,Sunday,2,12,2011,d_324,,,,,0,0,0
2011-12-19,11147,Monday,3,12,2011,d_325,,,,,0,0,0
2011-12-20,11147,Tuesday,4,12,2011,d_326,,,,,0,0,0
2011-12-21,11147,Wednesday,5,12,2011,d_327,,,,,0,0,0
2011-12-22,11147,Thursday,6,12,2011,d_328,,,,,0,0,0
2011-12-23,11147,Friday,7,12,2011,d_329,,,,,0,0,0
2011-12-24,11148,Saturday,1,12,2011,d_330,,,,,0,0,0
2011-12-25,11148,Sunday,2,12,2011,d_331,Christmas,National,,,0,0,0
2011-12-26,11148,Monday,3,12,2011,d_332,,,,,0,0,0
2011-12-27,11148,Tuesday,4,12,2011,d_333,,,,,0,0,0
2011-12-28,11148,Wednesday,5,12,2011,d_334,Chanukah End,Religious,,,0,0,0
2011-12-29,11148,Thursday,6,12,2011,d_335,,,,,0,0,0
2011-12-30,11148,Friday,7,12,2011,d_336,,,,,0,0,0
2011-12-31,11149,Saturday,1,12,2011,d_337,,,,,0,0,0
2012-01-01,11149,Sunday,2,1,2012,d_338,NewYear,National,,,1,1,0
2012-01-02,11149,Monday,3,1,2012,d_339,,,,,1,0,1
2012-01-03,11149,Tuesday,4,1,2012,d_340,,,,,1,1,1
2012-01-04,11149,Wednesday,5,1,2012,d_341,,,,,1,0,0
2012-01-05,11149,Thursday,6,1,2012,d_342,,,,,1,1,1
2012-01-06,11149,Friday,7,1,2012,d_343,,,,,1,1,1
2012-01-07,11150,Saturday,1,1,2012,d_344,OrthodoxChristmas,Religious,,,1,1,0
2012-01-08,11150,Sunday,2,1,2012,d_345,,,,,1,0,1
2012-01-09,11150,Monday,3,1,2012,d_346,,,,,1,1,1
2012-01-10,11150,Tuesday,4,1,2012,d_347,,,,,1,0,0
2012-01-11,11150,Wednesday,5,1,2012,d_348,,,,,0,1,1
2012-01-12,11150,Thursday,6,1,2012,d_349,,,,,0,1,1
2012-01-13,11150,Friday,7,1,2012,d_350,,,,,0,1,0
2012-01-14,11151,Saturday,1,1,2012,d_351,,,,,0,0,1
2012-01-15,11151,Sunday,2,1,2012,d_352,,,,,0,1,1
2012-01-16,11151,Monday,3,1,2012,d_353,MartinLutherKingDay,National,,,0,0,0
2012-01-17,11151,Tuesday,4,1,2012,d_354,,,,,0,0,0
2012-01-18,11151,Wednesday,5,1,2012,d_355,,,,,0,0,0
2012-01-19,11151,Thursday,6,1,2012,d_356,,,,,0,0,0
2012-01-20,11151,Friday,7,1,2012,d_357,,,,,0,0,0
2012-01-21,11152,Saturday,1,1,2012,d_358,,,,,0,0,0
2012-01-22,11152,Sunday,2,1,2012,d_359,,,,,0,0,0
2012-01-23,11152,Monday,3,1,2012,d_360,,,,,0,0,0
2012-01-24,11152,Tuesday,4,1,2012,d_361,,,,,0,0,0
2012-01-25,11152,Wednesday,5,1,2012,d_362,,,,,0,0,0
2012-01-26,11152,Thursday,6,1,2012,d_363,,,,,0,0,0
2012-01-27,11152,Friday,7,1,2012,d_364,,,,,0,0,0
2012-01-28,11201,Saturday,1,1,2012,d_365,,,,,0,0,0
2012-01-29,11201,Sunday,2,1,2012,d_366,,,,,0,0,0
2012-01-30,11201,Monday,3,1,2012,d_367,,,,,0,0,0
2012-01-31,11201,Tuesday,4,1,2012,d_368,,,,,0,0,0
2012-02-01,11201,Wednesday,5,2,2012,d_369,,,,,1,1,0
2012-02-02,11201,Thursday,6,2,2012,d_370,,,,,1,0,1
2012-02-03,11201,Friday,7,2,2012,d_371,,,,,1,1,1
2012-02-04,11202,Saturday,1,2,2012,d_372,,,,,1,0,0
2012-02-05,11202,Sunday,2,2,2012,d_373,SuperBowl,Sporting,,,1,1,1
2012-02-06,11202,Monday,3,2,2012,d_374,,,,,1,1,1
2012-02-07,11202,Tuesday,4,2,2012,d_375,,,,,1,1,0
2012-02-08,11202,Wednesday,5,2,2012,d_376,,,,,1,0,1
2012-02-09,11202,Thursday,6,2,2012,d_377,,,,,1,1,1
